Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"12        ",Male,18,Right-Handed,190.5,27,191,2,"Rail (Train/Tram/Subway)",45,0.506,64,Baseball/Softball,711,663,872,551,706,791,,,,,,July,Winter,No,No,Meat,Water,English,3-4,8,3,"Yes - broadband connection","Text messaging",72,75,8,1,0,5,2,3,8,8,8,2,0,5,Some,"High school","Rap/Hip hop","Freeze time",Rich,"Sports person","Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,170,25,175,1,"Rail (Train/Tram/Subway)",60,0.41,37,Other,600,700,700,800,1000,1000,24,"Right foot",70,75,"Ring finger",July,Summer,No,No,"No favorite",Water,"Mathematics and statistics",7,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",70,100,7,4,14,3,3,0,20,4,4,30,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,Relative,"International aid"
USA,NY,2020,"6         ",Female,11,Right-Handed,152,23,152,1,"Rail (Train/Tram/Subway)",25,0.393,51,Dancing,670,782,390,100,837,910,23,"Same length",25,69.85,"Index finger",December,Spring,No,No,Pizza/Pasta,Water,Other,9,10,3,"Yes - other","Internet chat or instant messaging",13,13,56,14,14,21,14,0,21,42,63,21,0,28,Some,"Graduate degree",Pop,"Super strength",Healthy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,151,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,"9         ",Female,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"12        ",Male,17,Right-Handed,182,27,190,3,"Rail (Train/Tram/Subway)",20,.237,38,"Football (American)",1000,1000,800,900,700,711,27,"Same length",85,105,"Index finger",May,Summer,No,No,"No favorite",Water,History,7,10,2,"Yes - broadband connection","Text messaging",30,30,9,5,15,5,2,0,0,2,6,3,0,1,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Politician,"Education/Youth development"
USA,NY,2019,"5         ",Female,11,Right-Handed,109,21,138,1,Bus,10,2.246,64,Gymnastics,1000,800,1000,80,5,0,23,"Left foot",10,7,"Index finger",June,Winter,Yes,No,Salads,Water,Other,8,10,3,"Yes - other","Text messaging",30,27,3,3,5,9,7,0,2,2,3,3,1,5,"Very little",Other,Pop,Invisibility,Happy,"Musician or singer",Health
USA,NY,2023,"12        ",Female,17,Right-Handed,170.2,27,169,2,Walk,15,0.328,33,Dancing,610,610,300,500,400,610,25,"Right foot",82,92,"Ring finger",May,Spring,Yes,No,Pizza/Pasta,Water,English,6.5,8,3,"Yes - broadband connection","Text messaging",115,184,10,7,5,5,1,1,7,3,5,10,0,2,Some,"Graduate degree",Pop,"Freeze time",Happy,Friend,"International aid"
USA,NY,2011,"5         ",Male,10,Right-Handed,135,22,132,1,Bus,30,0.202,57,Skateboarding/Rollerblading,551,444,187,,80,75,22,"Same length",70,80,"Ring finger",June,Spring,Yes,No,Pizza/Pasta,Water,"Physical education",9,9,5,"Yes - other","In person",0,0,2,1,5,10,9,5,1,0,0,8,0,2,Some,"Graduate degree","Punk rock",Invisibility,Healthy,"Sports person",Health
USA,NY,2017,"12        ",Female,16,Right-Handed,,,,2,Walk,6,0.385,41,Basketball,1000,711,866,444,176,364,,,,,,February,Summer,No,No,Fruit,Coffee,"Mathematics and statistics","7 ",8,4,"Yes - broadband connection","Internet chat or instant messaging",150,150,45,6,20,7,10,0,25,30,25,8,0,4,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Environment
USA,NY,2019,"5         ",Female,10,Right-Handed,147,24,157,1,Bus,2,.773,46,Gymnastics,500,500,1000,800,880,870,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Male,17,Right-Handed,180,29,205,1,"Rail (Train/Tram/Subway)",35,.695,56,"Football (American)",850,850,750,500,1000,1000,28,"Right foot",8.5,8,"Index finger",November,Spring,Yes,No,Meat,Water,Science,6.5,8.5,4,"Yes - broadband connection","In person",20,15,7,.5,11,7,7,6,5,3,40,0,0,1,"A lot","Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2023,"11        ",Male,17,Right-Handed,175?,26,28,3,Car,7,0.32,41,"Football (American)",700,800,850,855,400,450,27,"Left foot",86,102,"Ring finger",September,Spring,Yes,No,Poultry,Juice,"Physical education",5,9,4,"Yes - broadband connection","Text messaging",10,30,15,3,2,1,20,10,10,3,7,0,18,2,"A lot","Graduate degree","Rap/Hip hop",,Happy,"Musician or singer",Health
USA,NY,2018,"11        ",Male,19,Right-Handed,183,,183,2,"Rail (Train/Tram/Subway)",60,0.298,38,"Table Tennis",1000,0,781,594,1000,1000,,"Right foot",,,"Ring finger",September,Winter,No,No,Pizza/Pasta,Other,"Computers and technology",4,0,4,"Yes - broadband connection","Internet chat or instant messaging",0,2,10,2,6,1,0,30,2,10,50,0,0,0,,"High school",Other,"Super strength",Rich,Other,Health
USA,NY,2022,"11        ",Female,15,Right-Handed,65,24,56,2,Car,20,0.41,53,None,500,600,400,600,1000,1000,23,"Left foot",72,72,"Same length",November,Summer,No,No,Pizza/Pasta,Water,Art,6-7,9-10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",40,35,20,6,12,4,0,0,46,6,70,7,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Famous,Relative,"Wildlife, animals"
USA,NY,2014,"12        ",Female,17,Right-Handed,163,8,42,1,Car,12,.493,86,Bowling,500,500,1000,1000,100,1000,8,"Same length",70,68,"Index finger",July,Winter,Yes,No,Desserts,Water,History,6,10,4,"Yes - other","Text messaging",200,200,5,4,3,3,15,0,5,4,4,4,8,1,"A lot","Graduate degree",Country,Fly,Rich,Relative,Health
USA,NY,2016,"11        ",Male,16,Right-Handed,178,25,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"12        ",Female,17,Right-Handed,167.6,,165,1,Car,10,,,"Martial Arts",,,,,,,,"Left foot",,,"Index finger",November,Summer,Yes,No,"No favorite",Water,Science,5,7,4,"Yes - other","In person",4,10,2,0,10,4,10,0,14,1,15,2,0,4,"A lot",Other,Country,Telepathy,Happy,Relative,Health
USA,NY,2022,"12        ",Male,17,Right-Handed,177,28,179,2,"Rail (Train/Tram/Subway)",45,.305,"47 ",Baseball/Softball,500,400,600,800,400,1000,28,"Same length",100,103,"Ring finger",July,Fall,No,No,Meat,Water,English,7,8,5,"Yes - broadband connection","In person",40,40,5,3,4,10,8,11,6,2,5,7,5,0,Some,"Undergraduate degree","Rock and roll","Freeze time",Healthy,Relative,"Arts, culture, sports"
USA,NY,2023,"12        ",Female,17,Right-Handed,163,25.5,1.2,1,Car,3,0.694,56,Running/Jogging,540,861,155,342,1000,1000,27.7,"Left foot",87,85,"Index finger",March,Fall,No,No,Pizza/Pasta,Water,English,7,9,5,"Yes - broadband connection","Internet chat or instant messaging",75,100,24,10,12,3,3,1,8,12,15,15,23,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,Health
USA,NY,2016,"12        ",Female,18,Right-Handed,184,24.6,184,2,Walk,5,0.422,43,Swimming,800,900,700,200,600,1000,24.6,"Same length",7.8,7.5,"Index finger",April,Spring,Yes,No,Meat,Tea,Science,6,8,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,2,7,15,15,1,10,1,10,1,10,0,0,2,Some,"Graduate degree",Classical,Telepathy,Happy,"Musician or singer",Environment
USA,NY,2023,"12        ",Female,17,Right-Handed,165,26,157,2,"Rail (Train/Tram/Subway)",70,.32,47,Walking/Hiking,925,952,893,834,302,900,25,"Right foot",70,65,"Index finger",May,Summer,No,Yes,"Rice/Noodle dishes",Water,"Social studies",7,10,5,"Yes - other","In person",60,65,10,10,10,10,0,0,6,5,10,2,0,8,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,"Education/Youth development"
USA,NY,2015,"7         ",Female,12,Right-Handed,158,24,163,1,Car,2,0.607,47,Baseball/Softball,492,840,198,807,0,0,24,"Same length",86,79,"Index finger",April,Spring,Yes,No,Seafood,Water,"Computers and technology",9,9,5,"Yes - broadband connection","In person",0,0,56,0,7,48,12,0,0,0,2,0,0,18,Some,"Graduate degree","Heavy metal",Telepathy,Happy,Relative,"Wildlife, animals"
USA,NY,2016,"12        ",Male,17,Right-Handed,197,28,198,1,Bus,10,.319,30,Cycling,775,882,642,733,866,909,27,"Right foot",111,120,"Ring finger",February,Winter,No,No,"No favorite",Water,Other,6,9,4,"Yes - broadband connection","In person",1,3,3,0,11,11,2,3,1,1,15,0,0,10,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Environment
USA,NY,2020,"11        ",Female,17,Right-Handed,153,22,155,1,Walk,19,.448,42,Soccer,594,615,872,824,433,647,23,"Left foot",7.2,6.7,"Index finger",October,Spring,No,No,"Rice/Noodle dishes",Coffee,English,7,9,5,"Yes - broadband connection","Text messaging",75,300,5,.2,20,5,2,.5,9,8,5,9,9,3,"A lot","Undergraduate degree",Pop,"Freeze time",Happy,Other,Health
USA,NY,2013,"8         ",Female,13,Right-Handed,171.4,24.13,162.5,1,Bus,15,0.663,39,Running/Jogging,471,578,353,369,599,711,162.5,"Same length",7.62,9.144,"Ring finger",November,Winter,No,No,Desserts,Water,English,8,10,4,"Yes - other","Text messaging",16,24,16,0,6,6,2,0,16,8,16,14,0,5,"A lot","Graduate degree",Country,"Freeze time",Happy,"Musician or singer","Wildlife, animals"
